pcrplate_with_cooler,gradientPCRlividansoutputPlate,,,
A1,righthomologyarm2.5kbA1,dna,20,ul
B1,righthomologyarm2.5kbA2,dna,20,ul
C1,righthomologyarm2.5kbA3,dna,20,ul
D1,righthomologyarm2.5kbA4,dna,20,ul
E1,righthomologyarm2.5kbA5,dna,20,ul
F1,righthomologyarm2.5kbA6,dna,20,ul
G1,righthomologyarm2.5kbA7,dna,20,ul
H1,righthomologyarm2.5kbA8,dna,20,ul
A2,righthomologyarm2.5kbB1,dna,20,ul
B2,righthomologyarm2.5kbB2,dna,20,ul
C2,righthomologyarm2.5kbB3,dna,20,ul
D2,righthomologyarm2.5kbB4,dna,20,ul
E2,righthomologyarm2.5kbB5,dna,20,ul
F2,righthomologyarm2.5kbB6,dna,20,ul
G2,righthomologyarm2.5kbB7,dna,20,ul
H2,righthomologyarm2.5kbB8,dna,20,ul
A3,righthomologyarm3kb1,dna,20,ul
B3,righthomologyarm3kb2,dna,20,ul
C3,righthomologyarm3kb3,dna,20,ul
D3,righthomologyarm3kb4,dna,20,ul
E3,righthomologyarm3kb5,dna,20,ul
F3,righthomologyarm3kb6,dna,20,ul
G3,righthomologyarm3kb7,dna,20,ul
H3,righthomologyarm3kb8,dna,20,ul
A4,lefthomologyarm1kb1,dna,20,ul
B4,lefthomologyarm1kb2,dna,20,ul
C4,lefthomologyarm1kb3,dna,20,ul
D4,lefthomologyarm1kb4,dna,20,ul
E4,lefthomologyarm1kb5,dna,20,ul
F4,lefthomologyarm1kb6,dna,20,ul
G4,lefthomologyarm1kb7,dna,20,ul
H4,lefthomologyarm1kb8,dna,20,ul
A5,lefthomologyarm2.5kbA1,dna,20,ul
B5,lefthomologyarm2.5kbA2,dna,20,ul
C5,lefthomologyarm2.5kbA3,dna,20,ul
D5,lefthomologyarm2.5kbA4,dna,20,ul
E5,lefthomologyarm2.5kbA5,dna,20,ul
F5,lefthomologyarm2.5kbA6,dna,20,ul
G5,lefthomologyarm2.5kbA7,dna,20,ul
H5,lefthomologyarm2.5kbA8,dna,20,ul
A6,lefthomologyarm2.5kbB1,dna,20,ul
B6,lefthomologyarm2.5kbB2,dna,20,ul
C6,lefthomologyarm2.5kbB3,dna,20,ul
D6,lefthomologyarm2.5kbB4,dna,20,ul
E6,lefthomologyarm2.5kbB5,dna,20,ul
F6,lefthomologyarm2.5kbB6,dna,20,ul
G6,lefthomologyarm2.5kbB7,dna,20,ul
H6,lefthomologyarm2.5kbB8,dna,20,ul
A7,lefthomologyarm3kb1,dna,20,ul
B7,lefthomologyarm3kb2,dna,20,ul
C7,lefthomologyarm3kb3,dna,20,ul
D7,lefthomologyarm3kb4,dna,20,ul
E7,lefthomologyarm3kb5,dna,20,ul
F7,lefthomologyarm3kb6,dna,20,ul
G7,lefthomologyarm3kb7,dna,20,ul
H7,lefthomologyarm3kb8,dna,20,ul
A8,righthomologyarm1kb1,dna,20,ul
B8,righthomologyarm1kb2,dna,20,ul
C8,righthomologyarm1kb3,dna,20,ul
D8,righthomologyarm1kb4,dna,20,ul
E8,righthomologyarm1kb5,dna,20,ul
F8,righthomologyarm1kb6,dna,20,ul
G8,righthomologyarm1kb7,dna,20,ul
H8,righthomologyarm1kb8,dna,20,ul
A12,water,water,200,ul
B12,water,water,200,ul
C12,water,water,200,ul
D12,1kb DNA Ladder,dna,70,ul
